p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Michael Del Zotto,Defenseman,Defenseman,0,No team,1025,Brendan Guhle,Defenseman,Defenseman,24,Anaheim Ducks,578,129
Dylan DeMelo,Defenseman,Defenseman,52,Winnipeg Jets,1230,Mike Reilly,Defenseman,Defenseman,9,Ottawa Senators,861,129
Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,1010,Jason Spezza,Center,Forward,10,Toronto Maple Leafs,672,129
Anthony Beauvillier,Left Wing,Forward,2,New York Islanders,1389,Michael Dal Colle,Left Wing,Forward,2,New York Islanders,644,129
Yanni Gourde,Center,Forward,14,Tampa Bay Lightning,1053,Brayden Point,Center,Forward,14,Tampa Bay Lightning,1394,129
Tyler Seguin,Center,Forward,25,Dallas Stars,1564,Denis Gurianov,Right Wing,Forward,25,Dallas Stars,872,129
Sammy Blais,Left Wing,Forward,19,St. Louis Blues,503,Tyler Bozak,Center,Forward,19,St. Louis Blues,1050,129
Kevin Hayes,Center,Forward,4,Philadelphia Flyers,1304,Nicolas Aube-Kubel,Right Wing,Forward,4,Philadelphia Flyers,406,130
Patrick Marleau,Center,Forward,28,San Jose Sharks,1058,Kevin Labanc,Right Wing,Forward,28,San Jose Sharks,1221,130
Wayne Simmonds,Right Wing,Forward,10,Toronto Maple Leafs,1020,Kyle Palmieri,Right Wing,Forward,1,New Jersey Devils,1251,130
Greg Pateryn,Defenseman,Defenseman,30,Minnesota Wild,309,Carson Soucy,Defenseman,Defenseman,30,Minnesota Wild,860,130
Alec Martinez,Defenseman,Defenseman,54,Vegas Golden Knights,1115,Shea Theodore,Defenseman,Defenseman,54,Vegas Golden Knights,1767,130
James van Riemsdyk,Left Wing,Forward,4,Philadelphia Flyers,1036,Nicolas Aube-Kubel,Right Wing,Forward,4,Philadelphia Flyers,406,130
Mattias Ekholm,Defenseman,Defenseman,18,Nashville Predators,1690,Roman Josi,Defenseman,Defenseman,18,Nashville Predators,1921,130
Riley Stillman,Defenseman,Defenseman,13,Florida Panthers,670,Mark Pysyk,Defenseman,Defenseman,25,Dallas Stars,746,130
Sammy Blais,Left Wing,Forward,19,St. Louis Blues,503,David Perron,Left Wing,Forward,19,St. Louis Blues,1475,130
Erik Haula,Left Wing,Forward,0,No team,760,Nino Niederreiter,Right Wing,Forward,12,Carolina Hurricanes,1059,130
Connor Carrick,Defenseman,Defenseman,1,New Jersey Devils,419,Will Butcher,Defenseman,Defenseman,1,New Jersey Devils,1070,130
Justin Abdelkader,Left Wing,Forward,0,No team,579,Darren Helm,Left Wing,Forward,17,Detroit Red Wings,974,131
Brandon Sutter,Center,Forward,23,Vancouver Canucks,665,Jake Virtanen,Right Wing,Forward,23,Vancouver Canucks,938,131
Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1631,Valeri Nichushkin,Right Wing,Forward,21,Colorado Avalanche,948,131
David Savard,Defenseman,Defenseman,29,Columbus Blue Jackets,1461,Zach Werenski,Defenseman,Defenseman,29,Columbus Blue Jackets,1772,132
Andrew Copp,Center,Forward,52,Winnipeg Jets,1138,Jansen Harkins,Center,Forward,52,Winnipeg Jets,311,132
Brandon Montour,Defenseman,Defenseman,7,Buffalo Sabres,1053,Henri Jokiharju,Defenseman,Defenseman,7,Buffalo Sabres,1223,133
Eric Staal,Center,Forward,7,Buffalo Sabres,1212,Jordan Greenway,Left Wing,Forward,30,Minnesota Wild,984,133
Nick Paul,Left Wing,Forward,9,Ottawa Senators,866,Anthony Duclair,Left Wing,Forward,0,No team,1154,133
Anthony Bitetto,Defenseman,Defenseman,3,New York Rangers,812,Tucker Poolman,Defenseman,Defenseman,52,Winnipeg Jets,1054,133
David Perron,Left Wing,Forward,19,St. Louis Blues,1475,Tyler Bozak,Center,Forward,19,St. Louis Blues,1050,133
Ivan Barbashev,Center,Forward,19,St. Louis Blues,932,Tyler Bozak,Center,Forward,19,St. Louis Blues,1050,133
Colin Miller,Defenseman,Defenseman,7,Buffalo Sabres,935,Henri Jokiharju,Defenseman,Defenseman,7,Buffalo Sabres,1223,134
Trevor Lewis,Center,Forward,0,No team,673,Adrian Kempe,Center,Forward,26,Los Angeles Kings,1178,134
Ivan Barbashev,Center,Forward,19,St. Louis Blues,932,Sammy Blais,Left Wing,Forward,19,St. Louis Blues,503,134
Mikko Koivu,Center,Forward,29,Columbus Blue Jackets,856,Ryan Donato,Center,Forward,28,San Jose Sharks,690,134
Zack Kassian,Right Wing,Forward,22,Edmonton Oilers,933,Ryan Nugent-Hopkins,Center,Forward,22,Edmonton Oilers,1436,134
Ilya Kovalchuk,Left Wing,Forward,0,No team,856,Phillip Danault,Center,Forward,8,Montréal Canadiens,1410,134
Mitchell Marner,Right Wing,Forward,10,Toronto Maple Leafs,1468,Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,1010,134
Josh Leivo,Left Wing,Forward,20,Calgary Flames,580,Jake Virtanen,Right Wing,Forward,23,Vancouver Canucks,938,134
Colton Parayko,Defenseman,Defenseman,19,St. Louis Blues,1576,Justin Faulk,Defenseman,Defenseman,19,St. Louis Blues,1461,134
Tyler Johnson,Center,Forward,14,Tampa Bay Lightning,991,Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,875,135
Anders Bjork,Left Wing,Forward,6,Boston Bruins,768,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,1062,135
James van Riemsdyk,Left Wing,Forward,4,Philadelphia Flyers,1036,Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,734,135
Gaetan Haas,Center,Forward,22,Edmonton Oilers,578,Patrick Russell,Right Wing,Forward,22,Edmonton Oilers,526,135
Riley Nash,Center,Forward,29,Columbus Blue Jackets,784,Emil Bemstrom,Center,Forward,29,Columbus Blue Jackets,719,135
Connor Brown,Right Wing,Forward,9,Ottawa Senators,1518,Colin White,Center,Forward,9,Ottawa Senators,991,136
Gabriel Bourque,Left Wing,Forward,0,No team,447,Mason Appleton,Center,Forward,52,Winnipeg Jets,519,136
Alex Galchenyuk,Left Wing,Forward,9,Ottawa Senators,786,Brandon Tanev,Left Wing,Forward,5,Pittsburgh Penguins,1095,136
Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1631,Matt Calvert,Left Wing,Forward,21,Colorado Avalanche,743,136
Michael Frolik,Right Wing,Forward,0,No team,709,Matthew Tkachuk,Left Wing,Forward,20,Calgary Flames,1429,137
William Carrier,Left Wing,Forward,54,Vegas Golden Knights,729,Alex Tuch,Right Wing,Forward,54,Vegas Golden Knights,631,137
Claude Giroux,Center,Forward,4,Philadelphia Flyers,1389,Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,734,137
Wayne Simmonds,Right Wing,Forward,10,Toronto Maple Leafs,1020,Blake Coleman,Center,Forward,14,Tampa Bay Lightning,1106,137
Mattias Ekholm,Defenseman,Defenseman,18,Nashville Predators,1690,Ryan Ellis,Defenseman,Defenseman,18,Nashville Predators,1293,137
Jaden Schwartz,Left Wing,Forward,19,St. Louis Blues,1342,Tyler Bozak,Center,Forward,19,St. Louis Blues,1050,137
Victor Rask,Center,Forward,30,Minnesota Wild,451,Marcus Foligno,Left Wing,Forward,30,Minnesota Wild,874,137
Corey Perry,Right Wing,Forward,0,No team,782,Mattias Janmark,Center,Forward,16,Chicago Blackhawks,942,137
Victor Rask,Center,Forward,30,Minnesota Wild,451,Ryan Donato,Center,Forward,28,San Jose Sharks,690,137
Joe Thornton,Center,Forward,10,Toronto Maple Leafs,1206,Dylan Gambrell,Center,Forward,28,San Jose Sharks,623,138
Andrew Cogliano,Center,Forward,25,Dallas Stars,859,Jason Dickinson,Center,Forward,25,Dallas Stars,992,138
Danton Heinen,Left Wing,Forward,24,Anaheim Ducks,986,Brad Marchand,Left Wing,Forward,6,Boston Bruins,1562,138
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,1226,Brendan Perlini,Left Wing,Forward,0,No team,430,138
Tanner Pearson,Left Wing,Forward,23,Vancouver Canucks,1154,Brandon Sutter,Center,Forward,23,Vancouver Canucks,665,138
Alec Martinez,Defenseman,Defenseman,54,Vegas Golden Knights,1115,Ben Hutton,Defenseman,Defenseman,0,No team,1194,138
Niklas Hjalmarsson,Defenseman,Defenseman,53,Arizona Coyotes,507,Jordan Oesterle,Defenseman,Defenseman,53,Arizona Coyotes,1036,138
Alex Nylander,Left Wing,Forward,16,Chicago Blackhawks,821,David Kampf,Center,Forward,16,Chicago Blackhawks,972,138
Scott Mayfield,Defenseman,Defenseman,2,New York Islanders,1383,Johnny Boychuk,Defenseman,Defenseman,2,New York Islanders,1157,138
Ryan McDonagh,Defenseman,Defenseman,14,Tampa Bay Lightning,1123,Kevin Shattenkirk,Defenseman,Defenseman,24,Anaheim Ducks,1400,138
Anthony Cirelli,Center,Forward,14,Tampa Bay Lightning,1449,Yanni Gourde,Center,Forward,14,Tampa Bay Lightning,1053,139
Anders Lee,Left Wing,Forward,2,New York Islanders,1373,Derick Brassard,Center,Forward,0,No team,942,139
Andreas Athanasiou,Left Wing,Forward,0,No team,910,Robby Fabbri,Center,Forward,17,Detroit Red Wings,1075,139
Jakub Voracek,Right Wing,Forward,4,Philadelphia Flyers,1300,Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,734,139
Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,1075,Valeri Nichushkin,Right Wing,Forward,21,Colorado Avalanche,948,139
